asin,keyword_id_list
B0CMTYMKWR,[120959418]
B0CMXVMH9S,[120959047]
B0CN4QYX6H,[120959423]
B0CN54KHP1,[120959565]
B0CN5PT3NN,"[120959419, 120959565]"
B0CN5QGHSQ,[120959419]
B0CN8HLTDW,"[120959419, 120959565]"
B0CN8KLCNQ,"[120959419, 120959565]"
B0CN8S11GT,[120959565]
B0CN8XBS4S,[120959222]
B0CNC7LWQQ,[120959419]
B0CNC9R9L2,[120959565]
B0CNCCFZJJ,[120959565]
B0CNCDRPTQ,"[120959419, 120959565]"
B0CNHG5LTX,"[120959419, 120959565]"
B0CNJQZD96,[120959423]
B0CNRHJXQK,[120959537]
B0CP7J7GNQ,[121095980]
